,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
201,barbosa ferraz,BR,-24.03,-52.0117,73.69,59,49,2.57,scattered clouds
202,tasiilaq,GL,65.6145,-37.6368,42.13,93,100,18.61,light rain
203,tacuarembo,UY,-31.7333,-55.9833,67.71,70,99,5.44,overcast clouds
204,pevek,RU,69.7008,170.3133,37.54,82,85,10.87,overcast clouds
205,quatre cocos,MU,-20.2078,57.7625,68.11,90,90,15.52,moderate rain
206,verkh-usugli,RU,52.7,115.1667,63.16,69,100,2.77,overcast clouds
207,liepaja,LV,56.5419,21.0367,62.58,88,20,5.75,few clouds
208,yara,CU,20.2753,-76.9533,76.87,87,75,6.78,broken clouds
209,sayyan,YE,15.1718,44.3244,64.22,52,56,1.97,broken clouds
210,manokwari,ID,-0.8667,134.0833,82.17,72,98,5.17,overcast clouds
211,camacha,PT,33.0833,-16.3333,66.96,73,20,8.05,few clouds
212,ribeira grande,PT,38.5167,-28.7,72.97,87,26,16.42,scattered clouds
213,anadyr,RU,64.75,177.4833,54.1,66,75,22.37,broken clouds
214,sokoto,NG,13.0609,5.239,77.0,78,56,8.3,broken clouds
215,mao,ES,39.8885,4.2658,73.96,73,0,8.05,clear sky
216,saint-louis,SN,16.3333,-15.0,83.84,65,21,18.28,few clouds
217,jardim,BR,-21.4803,-56.1381,73.06,37,47,4.36,scattered clouds
218,riyadh,SA,24.6877,46.7219,89.74,23,4,2.8,clear sky
219,sao joao da barra,BR,-21.6403,-41.0511,68.97,82,0,12.08,clear sky
220,la huerta,MX,19.4667,-104.65,74.21,94,100,4.68,overcast clouds
221,acapulco,MX,16.8634,-99.8901,81.41,81,25,6.22,scattered clouds
222,tsiroanomandidy,MG,-18.7667,46.0333,55.36,64,0,2.08,clear sky
223,buala,SB,-8.145,159.5921,82.74,72,46,5.06,light rain
224,kharan,PK,28.5833,65.4167,82.87,14,0,4.63,clear sky
225,traralgon,AU,-38.1833,146.5333,55.9,91,100,2.28,overcast clouds
226,comodoro rivadavia,AR,-45.8667,-67.5,40.86,48,0,2.3,clear sky
227,emporia,US,38.4039,-96.1817,80.51,50,5,16.62,clear sky
228,panzhihua,CN,26.5851,101.7128,74.44,94,100,2.35,overcast clouds
229,susanville,US,40.4163,-120.653,85.84,15,40,8.99,haze
230,rio cuarto,AR,-33.1307,-64.3499,42.57,65,90,13.8,overcast clouds
231,provideniya,RU,64.3833,-173.3,53.71,62,0,15.66,clear sky
232,east london,ZA,-33.0153,27.9116,62.37,76,9,16.51,clear sky
233,sioux lookout,CA,50.1001,-91.917,75.58,68,20,8.05,few clouds
